team_id,league_id,abbr,team_concat,name,location,conf,div,lat,lon,weather,region_lat,region_lon,source_team_id
11301,1,ATL,NBA_ATL,Atlanta Hawks,"Atlanta, GA",East,Southeast,33.7572,-84.3964,0,33.7726,-84.3929,
11101,1,BOS,NBA_BOS,Boston Celtics,"Boston, MA",East,Atlantic,42.3663,-71.062202,0,42.3462,-71.0977,
11102,1,BYN,NBA_BYN,Brooklyn Nets,"New York, NY",East,Atlantic,40.6827,-73.974701,0,40.722,-74.0107,
11302,1,CHA,NBA_CHA,Charlotte Hornets,"Charlotte, NC",East,Southeast,35.225,-80.839203,0,35.225,-80.8392,
11201,1,CHI,NBA_CHI,Chicago Bulls,"Chicago, IL",East,Central,41.8806,-87.674202,0,41.8806,-87.6742,
11202,1,CLE,NBA_CLE,Cleveland Cavaliers,"Cleveland, OH",East,Central,41.4964,-81.688103,0,41.4964,-81.6881,
12601,1,DAL,NBA_DAL,Dallas Mavericks,"Dallas, TX",West,Southwest,32.7906,-96.810303,0,32.8377,-96.7827,
12401,1,DEN,NBA_DEN,Denver Nuggets,"Denver, CO",West,Northwest,39.7486,-105.007004,0,39.4438,-105.112,
11203,1,DET,NBA_DET,Detroit Pistons,"Detroit, MI",East,Central,42.3411,-83.055,0,42.3392,-83.0486,
12501,1,GSW,NBA_GSW,Golden State Warriors,"San Francisco, CA",West,Pacific,37.7681,-122.387001,0,37.7786,-122.389,
12602,1,HOU,NBA_HOU,Houston Rockets,"Houston, TX",West,Southwest,29.7508,-95.362198,0,29.7162,-95.4093,
11204,1,IND,NBA_IND,Indiana Pacers,"Indianapolis, IN",East,Central,39.7639,-86.155602,0,39.7639,-86.1556,
12502,1,LAC,NBA_LAC,Los Angeles Clippers,"Inglewood, CA",West,Pacific,33.9451,-118.343002,0,34.0736,-118.24,
12503,1,LAL,NBA_LAL,Los Angeles Lakers,"Los Angeles, CA",West,Pacific,34.0431,-118.266998,0,34.0736,-118.24,
12603,1,MEM,NBA_MEM,Memphis Grizzlies,"Memphis, TN",West,Southwest,35.1383,-90.050598,0,35.1209,-89.9781,
11303,1,MIA,NBA_MIA,Miami Heat,"Miami, FL",East,Southeast,25.7814,-80.188103,0,25.7525,-80.1881,
11205,1,MIL,NBA_MIL,Milwaukee Bucks,"Milwaukee, WI",East,Central,43.0436,-87.916901,0,43.0436,-87.9169,
12402,1,MIN,NBA_MIN,Minnesota Timberwolves,"Minneapolis, MN",West,Northwest,44.9794,-93.2761,0,44.9817,-93.2783,
12604,1,NOP,NBA_NOP,New Orleans Pelicans,"New Orleans, LA",West,Southwest,29.9489,-90.081902,0,29.573,-90.452,
11103,1,NYK,NBA_NYK,New York Knicks,"New York, NY",East,Atlantic,40.7506,-73.993599,0,40.722,-74.0107,
12403,1,OKC,NBA_OKC,Oklahoma City Thunder,"Oklahoma City, OK",West,Northwest,35.4633,-97.514999,0,35.2059,-97.4426,
11304,1,ORL,NBA_ORL,Orlando Magic,"Orlando, FL",East,Southeast,28.5392,-81.383598,0,28.608,-81.193,
11104,1,PHI,NBA_PHI,Philadelphia 76ers,"Philadelphia, PA",East,Atlantic,39.9011,-75.171898,0,39.9058,-75.1664,
12504,1,PHX,NBA_PHX,Phoenix Suns,"Phoenix, AZ",West,Pacific,33.4458,-112.070999,0,33.4453,-112.067,
